"Symbol","Expiry1 IV","Expiry2 IV","Expiry3 IV","IV30","IV90","IV60","Expiry4 IV"
"AKAOQ",0,0,0,0,0,0,0
"AKBA",109.27,130.41,132.03,118.3246,131.5692,130.6983,129.44
"AKR",108.59,67.58,60.33,60.3338,59.5616,60.3338,54.49
"AKRO",80.01,74.59,79,77.6897,76.5301,75.0756,75.85
"AKRXQ",0,0,0,0,0,0,0
"AKTS",81.96,82.04,82.28,81.9945,82.2543,82.125,82.12
"AL",50.96,54.26,56.07,52.3718,55.8329,54.9032,54.85
"ALB",43.8,46.67,46.83,45.0335,46.7638,46.7304,46.31
"ALBO",65.18,71.89,78.78,68.0538,76.8154,73.1216,82.34
"ALC",27.06,26.67,29.66,26.896,27.9861,26.9996,29.26
"ALDX",158.02,99.09,131.85,132.784,131.8755,110.7977,132.07
"ALE",24.64,28.36,27.17,26.233,27.5068,28.1479,29.67
"ALEC",188.25,145.06,129.95,169.7521,134.264,142.3652,119.68
"ALEX",37.96,41.66,46.04,39.5476,46.1989,43.2273,47.21
"ALFA",17.44,18.32,18.79,17.8132,18.7761,18.486,18.66
"ALG",69.39,33.24,36.71,33.2438,36.8552,34.4808,37.84
"ALGN",33.96,51.43,48.1,59.7445,49.0519,50.8386,48.3
"ALGT",46.78,48.85,47.99,47.6664,48.235,48.6995,47.85
"ALK",44.7,48.9,49.37,46.4981,49.2349,48.9858,48.88
"ALKS",49.32,57.68,56.31,52.8994,57.0753,57.5275,57.76
"ALL",20.96,24.91,24.58,22.6516,24.6717,24.849,25.51
"ALLE",28.66,31.22,30.67,29.7585,30.8619,31.0232,32.13
"ALLK",78.58,75.8,77.74,77.3856,76.9967,76.4904,72.12
"ALLO",70.43,67,70.36,68.9619,68.4788,67.373,66.05
"ALLT",46.42,54.93,55.2,50.0624,54.4777,55.0265,49.71
"ALLY",39.77,42.88,41.62,41.1023,41.8272,42.4325,43.2
"ALNY",62.93,59.02,58.47,61.2568,57.9089,58.8249,54.24
"ALRM",44.93,44.98,48.96,44.9508,48.8017,46.4027,47.75
"ALSK",148.28,143.57,51.77,132.3727,68.7155,100.5441,0
"ALSN",34.77,35.3,36.57,34.9976,35.8586,35.4396,35.66
"ALT",104.5,115.04,131.92,109.0149,129.8283,121.0742,116.08
"ALTG",35.18,42.83,50.41,38.4563,48.2487,44.185,53.16
"ALTR",66.85,42.82,43.45,56.5593,43.2691,42.9331,44.27
"ALV",36.55,38.29,37.63,37.2969,37.7488,38.0525,38.54
"ALVR",117.21,77.84,85.14,100.345,83.058,79.1435,82.78
"ALXN",25.65,27.38,24.87,27.6235,26.2781,27.1057,24.49
"ALXO",92.83,100.16,109.51,95.9702,104.2741,101.1901,116.56
"AM",51.33,59.01,61.69,54.6234,60.5599,59.9702,53.14
"AMAG",0,0,0,0,0,0,0
"AMAT",35.1,40.92,39.84,37.3605,39.9435,40.5371,40.08
"AMBA",60.61,58.61,56.82,62.9045,57.8227,58.414,55.71
"AMBC",52.48,56.99,64.8,54.4096,65.5426,59.7784,66.53
"AMC",147.12,193.73,207.12,178.7402,207.3514,198.511,208.89
"AMCR",29.22,32.55,33.9,30.6505,33.5159,32.7939,32.32
"AMCX",58.1,55.68,59.29,57.0677,59.0735,56.9734,57.64
"AMD",46.57,52.35,51.62,52.2894,51.4439,52.0902,51.21
"AME",23.29,27.02,27.55,24.8842,27.5892,27.2075,27.84
"AMED",32.46,33.52,34.43,32.9148,34.4724,33.8434,34.76
"AMG",36.54,38.83,38.2,37.5181,38.3617,38.6045,39.43
"AMGN",25.99,28.87,27.17,27.7174,27.0506,28.2613,26.9
"AMH",24.73,24.56,29.87,24.6536,29.6148,26.4548,27.96
"AMJ",36.57,42.2,41.16,42.1963,40.6875,41.8271,37.57
"AMKR",41.4,56.41,52.2,47.8295,52.2577,54.9021,52.65
"AMLP",37.49,38.52,36.41,37.5458,37.0162,38.1475,35.6
"AMN",39.79,45.01,42.18,42.0298,42.9885,44.5078,41.6
"AMNB",43.13,48.35,47.94,45.3664,48.3744,48.2026,51.23
"AMOT",101.37,60.66,49.76,83.9336,52.8674,58.7105,45.12
"AMP",27.03,32.19,32.38,29.2431,32.4439,32.2588,32.85
"AMPE",226.17,216.77,215.53,222.1425,215.8804,216.5464,193.08
"AMPH",68.31,0,98.94,67.8461,65.9986,66.9224,63.57
"AMPY",0,158.52,150.94,150.9362,150.9362,150.9362,159.06
"AMRC",52.4,51.61,54.56,52.0613,53.7201,52.134,54.2
"AMRN",85.42,88.91,97,85.4164,97.0033,91.801,97.01
"AMRS",140.14,133.25,141.17,137.1872,138.4195,136.0782,120.35
"AMRX",71.92,97.17,104.18,82.734,102.4802,99.6735,91.34
"AMSC",72.74,75.96,71.4,74.1193,72.7022,75.143,69.41
"AMSF",0,38.32,33.83,38.3218,35.1097,37.5193,33.85
"AMSWA",70.73,54.02,44.5,54.0201,47.2167,52.3205,52.7
"AMT",24.03,24.95,26.36,24.6667,26.6177,25.4529,26.96
"AMTX",138.98,180.75,0,145.861,173.4156,159.6383,0
"AMWD",45.3,47.44,51.26,46.2178,50.1732,48.1256,50.42
"AMWL",70.65,78.4,79.64,73.9706,80.0482,78.8464,81.77
"AMX",27.92,34.68,34.01,30.8169,34.3894,34.6103,35.84
"AMZA",47.75,48.49,45.63,48.0692,46.0415,47.4662,48.76
"AMZN",27.5,36,35.39,34.9111,35.1758,35.7832,34.89
"AN",40.18,43.49,42.9,41.5961,43.0643,43.38,42.36
"ANAB",97.99,104.57,104.66,100.8064,104.6081,104.579,99.36
"ANAT",0,24.56,25.74,24.5603,26.1838,24.9823,29.09
"ANDE",57.15,59.4,61.84,58.1141,61.5408,60.271,59.61
"ANET",30.62,46.22,42.13,32.6722,42.0734,44.7562,41.71
"ANF",76.29,62.72,68.15,66.7936,67.6952,64.6622,65.75
"ANGI",64.23,70.74,67.13,67.0184,69.1543,70.3448,66.14
"ANGL",0,0,0,0,0,0,0
"ANGO",72.45,56.34,54.15,65.5512,54.7765,55.947,50.07
"ANH",42.75,59.39,33.16,49.8775,40.6446,54.7041,38.5
"ANIK",64.88,72.83,62.4,68.284,62.2429,69.1029,61.24
"ANIP",68.36,75.07,72.72,71.233,73.3888,74.6477,73.5
"ANSS",26.6,27.83,30.91,27.1282,30.0309,28.3827,32.66
"ANTE",319.44,293.69,232.28,308.4108,230.9741,271.7489,222.38
"ANTM",33.13,32.81,33.28,33.3943,33.3395,32.9787,33.75
"AON",23.61,26.55,26.33,24.8678,26.3899,26.5117,26.43
"AOS",26.98,31.53,29.89,28.93,30.3585,31.235,30.11
"AOSL",71.23,74.06,65.91,72.4389,66.3845,71.1476,69.48
"AOUT",74.35,64.95,65.26,70.3254,65.172,65.0076,59.02
"AP",79.25,71.48,70.31,75.9239,69.9278,71.0627,67.4
"APA",87.41,85.22,82.35,83.1048,83.1669,84.7084,80.04
"APAM",43.41,39.91,44.93,41.9112,44.6053,41.7048,42.5
"APD",23.08,26.91,26.88,24.7176,26.975,26.8983,27.59
"APEI",71.11,49.21,65.38,61.7285,64.0373,54.9873,55.22
"APEX",0,0,0,0,0,0,0
"APG",38.24,37.79,39.72,38.0482,39.1673,38.136,41.87
"APH",26.62,28.93,28.46,27.61,28.5952,28.8468,29.02
"APHA",122.58,96.9,96.08,101.2004,96.3124,96.7538,91.13
"API",80.63,91.64,92.88,85.3456,93.1418,92.0801,94.86
"APLE",39.99,39.82,43,39.9199,42.0935,40.3913,43.95
"APLS",71.51,68.03,66.2,70.0226,66.7251,67.7049,66.7
"APLT",110.86,105.6,92.2,108.6093,96.0215,103.2068,89.27
"APO",32.94,36.26,35.55,37.5435,35.5955,36.0055,35.89
"APOG",44.55,42.27,47.79,43.5778,44.6981,42.8797,47.26
"APPF",47.62,48.51,50.92,47.9991,50.23,48.9393,49.66
"APPN",72.3,79.18,81.95,75.2456,81.2726,80.1673,78.41
"APPS",78.59,94.35,91.13,85.3421,89.7648,93.1973,87.96
"APRN",109.84,127.21,112.5,117.2791,116.6951,124.5849,116.57
"APT",67.51,77.6,83.26,91.6481,80.0908,78.2235,79.78
"APTO",151.35,126.06,207.57,140.5189,184.3155,140.6163,195.39
"APTS",53.77,46.12,52.05,50.4976,50.3562,47.1811,53.13
"APTV",35.45,38.21,40.14,36.6309,39.0618,38.4258,40.47
"APTX",159.06,138.41,129.96,150.2175,134.6936,137.4802,131.03
"APXT",110.64,122.47,147.65,115.7074,140.4626,126.9678,145.36
"APYX",97.05,78.38,77.52,94.722,85.4212,90.0716,79.46
"AQB",146.38,151.34,169.33,148.5084,168.0475,157.7724,159.6
"AQMS",136.68,134.58,144.19,135.7823,141.4457,136.295,143.43
"AQN",0,21.96,22.64,21.9596,22.4468,22.0813,21.02
"AQST",104.87,98.64,128.43,102.2056,111.7417,101.916,131.95
"AQUA",45.67,50.5,50.42,47.7397,50.4652,50.4931,49
"AR",89.84,86.81,88.37,88.5413,87.4978,86.9821,84.64
"ARA",0,133.27,52.61,133.269,72.4306,104.467,202.61
"ARAV",141.01,164.02,135.85,150.8646,133.306,153.9571,116.6
"ARAY",90.48,74.73,71.44,83.7368,73.441,73.5543,86.59
"ARC",0,0,141.72,141.7216,141.7216,141.7216,122.44
"ARCB",51.55,53.06,54.18,52.1952,53.6035,53.4592,49.79
"ARCC",20.49,23.01,26.66,21.5695,26.7179,24.3156,27.11
"ARCH",87.75,84.03,81.32,86.1574,82.8368,83.7303,74.15
"ARCO",35.26,45,55.62,39.4352,49.6721,46.1696,53.71
"ARCT",120.13,121.91,129.94,120.8934,128.5567,124.7785,119.47
"ARD",27.7,35.03,37.84,30.8411,37.7432,36.0342,37.14
"ARDX",165.57,112.64,92.06,142.9005,97.9342,108.9677,94.04
"ARE",21.38,22.85,24.24,22.0082,23.841,23.0965,23.96
"ARES",32.76,30.9,33.52,31.9616,33.9003,31.8344,36.42
"ARGT",22.47,27.89,27.3,24.7935,27.4677,27.7851,28.87
"ARGX",49.04,50.05,51.4,49.4758,50.6425,50.1987,51.35
"ARI",48.15,46.56,47.82,47.4725,47.1168,46.7016,46.84
"ARKF",35.68,39.89,41.86,37.483,41.3008,40.244,42.4
"ARKG",63.98,59.27,59.26,61.9594,59.2606,59.2643,58.38
"ARKK",51.07,52.05,51.69,52.6286,51.564,51.9221,50.72
"ARKQ",40.21,42.91,44.53,41.3638,44.642,43.489,45.38
"ARKW",39.28,41.51,42.98,40.2321,43.0757,42.0335,43.68
"ARLO",105.56,111.14,112.99,107.954,112.4666,111.4745,110.92
"ARLP",85.44,84.67,88.8,85.1129,88.6861,86.145,87.96
"ARMK",48.08,46.96,46.59,47.6003,46.6965,46.8914,47.52
"ARNA",54.32,51.27,51.77,53.0119,52.8027,51.448,54.18
"ARNC",50.12,53.01,53.32,51.3619,53.2319,53.0683,52.46
"AROC",67.99,54.62,57.45,62.264,55.8606,54.9262,57.57
"AROW",54.88,44.14,42.36,50.2772,41.9705,43.503,39.42
"ARR",35.01,30.84,29.47,33.2263,29.865,30.5987,30.42
"ARRY",80.73,79.87,79.62,80.3618,79.6901,79.827,76.17
"ARTNA",0,0,0,0,0,0,0
"ARVN",80.7,89.76,95.59,84.58,93.927,90.8038,100.98
"ARW",35.4,32.43,31.76,34.1269,31.7709,32.1915,31.82
"ARWR",76.18,77.57,79.76,76.7767,80.2774,78.3497,83.69
"ASA",44.3,42.01,44.66,43.3174,43.176,42.3028,43.06
"ASAN",65.53,71.06,79.68,67.8996,74.8486,72.0068,80.37
"ASB",33.4,38.98,39.21,35.7901,39.4917,39.0582,41.36
"ASC",5,68.73,75.67,32.2962,73.6915,69.9707,72.79
"ASGN",33.54,41.32,41.93,36.8733,41.6645,41.5376,39.91
"ASH",28.13,30.79,30.06,29.2667,30.2706,30.6584,30.25
"ASHR",21.5,21.91,22.64,21.6678,22.913,22.1676,23.28
"ASHS",22.94,23.23,23.94,23.0651,24.2926,23.482,26.63
"ASIX",60.19,55.61,60.3,58.2311,60.4226,57.2877,61.21
"ASMB",108.62,105.36,99.25,107.2231,102.6769,104.6924,111.94
"ASML",29.38,32.41,32.9,33.2571,32.762,32.4992,33.35
"ASNAQ",0,0,0,0,0,0,0
"ASND",61.64,57.28,63.36,59.7704,61.6277,58.3658,58.41
"ASO",82.57,84.93,89.03,83.5795,87.8583,85.6611,90.54
"ASPN",92.42,86.61,87.06,89.9281,86.8059,86.6567,87.19
"ASPS",72.29,73.24,73.23,72.6972,73.2322,73.2385,73.99
"ASR",32.65,33.19,34.54,32.8809,34.9492,33.671,37.62
"ASRT",0,466.81,261.25,269.5968,269.5968,269.5968,269.6
"ASRV",242.88,0,0,242.8781,242.8781,242.8781,0
"ASTE",48.17,46.17,47.12,47.3098,47.3058,46.5067,48.54
"ASUR",60.75,89.47,56.65,89.4716,59.0854,77.7442,75.06
"ASYS",81.54,51.82,58.11,51.8192,54.5834,52.5098,53.63
"AT",0,0,54.6,54.6011,54.6011,54.6011,48.54
"ATAX",0,0,48.47,48.4696,48.4696,48.4696,47.7
"ATCO",46.72,44.36,48.61,45.7061,46.2262,44.8252,48.72
"ATEC",82.99,90.31,77.06,86.1271,80.8429,87.9433,73.63
"ATEN",71.54,75.43,67.03,73.2044,71.7373,74.5079,64.17
"ATEX",81.31,81.32,79.05,81.3144,80.3196,81.0697,78.39
"ATGE",37.68,46.24,44.18,41.3436,45.3324,46.0124,44.66
"ATH",40.46,42.49,44.27,41.3288,43.2735,42.6866,44.67
"ATHM",42.92,44.62,44.3,43.6484,44.588,44.5044,46.51
"ATHX",123.77,124.16,137.69,123.9368,133.8303,126.5786,136.29
"ATI",59.96,62.38,62.02,60.9971,62.1204,62.3178,61.44
"ATKR",60.74,55.85,53.8,58.6459,54.3893,55.4879,51.47
"ATLC",61.7,69.04,72.02,64.8427,71.1657,69.5675,74.34
"ATNI",49.25,50.64,50.02,49.8445,50.2954,50.4139,52.13
"ATNM",112.6,120.43,132.55,115.9543,125.7561,121.758,123.31
"ATNX",133.99,81.71,106.42,111.6015,99.3684,86.1223,97.43
"ATO",30.48,32.26,26.5,31.2453,28.1467,31.2358,25.93
"ATOM",125.11,130.95,123.84,127.613,125.8699,129.6798,119.38
"ATOS",242.01,252.97,240.82,246.7035,244.2868,250.7987,222.57
"ATR",17.85,21.76,23.33,19.5291,22.453,21.9368,23.05
"ATRA",72.53,75.48,77.05,73.7942,76.5496,76.0419,73.29
"ATRC",56.29,45.28,51.45,51.5743,49.6863,46.378,44.44
"ATRO",93.02,95.61,93.43,94.1292,93.5327,94.8279,94.21
"ATRS",183.05,65.7,66.07,65.7004,65.8611,65.7406,69.23
"ATSG",35.58,34.37,40.56,35.0624,40.3954,36.5844,39.29
"ATUS",28.81,36.53,35.05,32.1172,35.253,36.0034,36.58
"ATVI",27.82,34.1,33.16,30.7749,32.896,33.7667,32.55
"AU",49.85,52.83,51.68,51.1245,52.008,52.6254,50.96
"AUB",43.67,45.66,47.17,44.5229,46.7372,45.927,44.87
"AUDC",52.5,59.01,57.41,55.2882,57.2914,58.4348,56.52
"AUMN",0,324.67,205.44,205.4436,205.4436,205.4436,210.28
"AUPH",150.49,145.29,122.24,148.2673,128.815,141.1771,108.45
"AUTO",118.32,123.06,148.9,120.3528,141.5239,127.675,140.41
"AUY",48.88,54.63,52.36,50.8657,53.008,54.2236,52.39
"AVA",94.41,27.64,51.28,65.8124,49.8957,36.091,40.78
"AVAV",39.25,38.34,44.8,38.8636,44.5947,40.6521,43.23
"AVB",25.19,27.13,28.89,26.0245,28.3885,27.4467,29.47
"AVD",34.22,36.76,41.38,35.3037,38.7888,37.2631,41.68
"AVDL",113.46,86.26,89.53,107.7588,90.3603,96.3584,95.81
"AVEO",128.55,85.37,106.3,110.0518,100.3291,89.1042,108.67
"AVGO",26.62,29.59,34.11,27.7033,33.4826,31.2046,32.65
"AVID",63,64.38,65.47,63.5896,65.1559,64.5728,66.51
"AVLR",47.88,54.69,53.07,50.7952,53.9787,54.5131,51.71
"AVNS",35.15,37.81,42.12,36.2883,40.8876,38.5759,43.67
"AVNT",63.4,52.9,45.26,58.9023,45.5057,50.17,47.13
"AVRO",92.3,69.7,75.5,82.6198,72.2497,70.3344,74.12
"AVT",31.85,35.17,36.09,33.2734,35.5753,35.2743,36.19
"AVTR",41.73,42.28,42.41,41.9669,42.3367,42.2962,43.09
"AVXL",108.47,110.11,123.96,109.1738,120.0058,112.5853,135.12
"AVY",29.17,32.89,31.44,30.7626,31.8502,32.6285,32.9
"AVYA",50.01,62.26,60.24,55.2577,60.17,61.5412,59.71
"AWH",69.4,77.33,95.4,77.3316,90.2431,80.557,84.03
"AWI",28.15,31.49,35.62,29.5821,35.6861,32.966,36.15
"AWK",20.76,23.91,24.27,22.1112,24.3666,24.0404,25.02
"AWR",29.04,31.43,31.55,30.0614,31.2169,31.4728,29.02
"AWRE",215.29,142.47,104.5,184.0963,115.3314,135.6867,68.53
"AX",38.76,41.98,40.93,40.1356,41.2282,41.7897,41.37
"AXAS",137.33,131.55,121.86,134.8532,122.4378,128.0898,126.23
"AXDX",92.1,72.31,86.38,83.6225,78.4928,73.8525,82.62
"AXGN",62.21,103.88,67.31,80.0551,77.7474,97.3538,53.17
"AXL",60.5,64.25,66.42,62.1039,65.8003,64.6347,66.15
"AXNX",64.03,64.37,63.37,64.1745,63.6551,64.1909,61.52
"AXP",31.38,32.97,33.29,32.9394,33.3034,33.0873,33.32
"AXS",30.35,33.05,33.97,31.5068,33.7671,33.3804,32.46
"AXSM",69.02,64.93,66.85,67.2671,67.0508,65.6178,68.35
"AXTA",32.17,31.35,31.75,31.8196,32.0068,31.492,32.35
"AXTI",93.77,92.05,81.02,93.033,87.1974,90.8343,80.87
"AXU",5,76.96,93.86,35.8185,89.0344,79.9738,97.38
"AY",37.14,36.07,38.63,36.6805,37.1953,36.3529,37.47
"AYI",48.73,45.3,42.22,47.2611,43.9455,44.9634,41.78
"AYRO",154.8,160.29,161.65,157.1506,160.6406,160.778,156.35
"AYX",51.36,63.54,58.66,56.5769,61.3948,63.0071,56.89
